[I]18:41:08.568 ================================================================================
[I]18:41:08.578                                    SGFDebuger                                   
[I]18:41:08.579 --------------------------------------------------------------------------------
[I]18:41:08.579 Time:	18:41:08.567 
[I]18:41:08.579 Path:	F:\Project\gad\Recording\Snaker2\Server\Apps\/ServerLog/
[I]18:41:08.579 ================================================================================
[I]18:41:08.581 > Program::InitDebuger() 
[I]18:41:08.590 > ServerManager::StartServer() 1
[I]18:41:08.595 > ServerConfig::ReadConfig() 
[I]18:41:08.646 > ZoneServer[1,4540]::Create() 
[I]18:41:08.652 > ZoneServer[1,4540]::Start() 
[I]18:41:08.656 > NetManager::Init() port:4540
[I]18:41:08.667 > Gateway::Init() port:4540
[I]18:41:08.672 > Gateway::Start() 
[I]18:41:08.721 > IPCConfig::ReadConfig() 
[I]18:41:08.737 > NetManager::AddListener() cmd:1, listener:OnlineManager.OnLoginReq
[I]18:41:08.738 > NetManager::AddListener() cmd:3, listener:OnlineManager.OnHeartBeatReq
[I]18:41:08.739 > RPCManagerBase::RegisterListener() OnlineManager
[I]18:41:08.745 > RPCManagerBase::RegisterListener() RoomManager
[I]18:41:08.745 > RPCManagerBase::RegisterListener() RoomManager
[I]18:41:08.749 > MainLoop::Run() 
[I]18:41:14.902 > OnlineManager::OnLoginReq() session:1, index:1, name:aaa
[I]18:41:14.906 > NetManager::Send() index:1, cmd:2
[I]18:41:15.006 > NetManager::Send() index:2, cmd:4
[I]18:41:20.011 > NetManager::Send() index:3, cmd:4
[I]18:41:25.017 > NetManager::Send() index:4, cmd:4
[I]18:41:30.021 > NetManager::Send() index:5, cmd:4
[I]18:45:06.814 > OnlineManager::OnLoginReq() session:2, index:1, name:a
[I]18:45:06.815 > NetManager::Send() index:1, cmd:2
[I]18:45:09.529 > NetManager::Send() index:2, cmd:4
[I]18:45:14.531 > NetManager::Send() index:3, cmd:4
[I]18:45:19.538 > NetManager::Send() index:4, cmd:4
[I]18:45:24.542 > NetManager::Send() index:5, cmd:4
[I]18:45:29.546 > NetManager::Send() index:6, cmd:4
[I]18:45:34.551 > NetManager::Send() index:7, cmd:4
[I]18:45:39.554 > NetManager::Send() index:8, cmd:4
[I]18:45:44.566 > NetManager::Send() index:9, cmd:4
[I]18:45:49.582 > NetManager::Send() index:10, cmd:4
[I]18:45:54.583 > NetManager::Send() index:11, cmd:4
[I]18:45:59.599 > NetManager::Send() index:12, cmd:4
[I]18:46:04.602 > NetManager::Send() index:13, cmd:4
[I]18:46:17.253 > OnlineManager::OnLoginReq() session:3, index:1, name:aaa
[I]18:46:17.256 > NetManager::Send() index:1, cmd:2
